Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproa,Status,SnapX,SnapY,SnapZ,DistanceTo,Attr_Lengt,Breaks_Len,V20L1t0,TARGET_FID,FacilityID,V20L1t1,V20L1t2,V20L1t3,V18L1t0,V18L1t1,V18L1t2,V18L1t3,V22L1t0,V22L1t1,V22L1t2,V22L1t3,V12L1t0,V12L1t1,V12L1t2,V12L1t3,V16L1t0,V16L1t1,V16L1t2,V16L1t3
Location 123,1,6520,0.82958933254,2,0,0,5433041.04900000000,6502624.50946000000,0.00000000000,13.57208887770,0.00000000000,,0,144,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 124,1,11357,0.76138789845,2,0,0,5433105.09187000000,6502668.69688000000,0.00000000000,21.87752985100,0.00000000000,,133,146,124,25,35,73,93,20,28,45,124,24,53,47,109,28,44,37,103,16,52,35
Location 125,1,2652,0.76687359229,2,0,0,5433125.32503000000,6502774.60756000000,0.00000000000,25.18898374590,0.00000000000,,6,147,125,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 127,1,11552,0.81727854892,1,0,0,5433071.50020000000,6502046.94853000000,0.00000000000,25.00817990090,0.00000000000,,7,148,127,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 128,1,11658,0.75174695723,1,0,0,5433105.75364000000,6500917.58785000000,0.00000000000,16.17400851720,0.00000000000,,39,149,128,10,10,19,16,3,8,5,32,8,19,5,24,6,13,5,24,3,15,6
Location 129,1,2890,0.82610041223,1,0,0,5433153.73021000000,6500882.09144000000,0.00000000000,24.37035915130,0.00000000000,,33,150,129,7,7,19,35,6,12,17,35,6,15,14,32,5,18,9,39,7,17,15
Location 130,1,9545,0.80313176815,1,0,0,5432665.20270000000,6498845.93236000000,0.00000000000,22.16922336640,0.00000000000,,140,151,130,48,27,65,72,21,20,31,191,45,80,66,150,34,65,51,32,8,18,6
Location 131,1,1657,0.89043417538,1,0,0,5432703.96865000000,6499530.23595000000,0.00000000000,12.10488742970,0.00000000000,,0,152,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 132,1,10427,0.11295798180,1,0,0,5432627.15639000000,6499286.09569000000,0.00000000000,10.99632386140,0.00000000000,,353,154,132,87,100,166,282,44,120,118,292,78,118,96,278,65,121,92,460,77,260,123
Location 133,1,5816,0.74861176666,1,0,0,5432989.50642000000,6500642.43498000000,0.00000000000,12.34129301030,0.00000000000,,62,155,133,15,24,23,39,12,11,16,48,12,22,14,66,14,32,20,57,10,36,11
Location 134,1,14728,0.63300601350,1,0,0,5433114.90304000000,6500629.59238000000,0.00000000000,27.09715603230,0.00000000000,,236,156,134,69,74,93,48,6,17,25,73,20,31,22,82,16,35,31,255,38,156,61
Location 135,1,1030,0.24691975604,1,0,0,5433001.48473000000,6500108.25059000000,0.00000000000,26.06825147100,0.00000000000,,4,157,135,1,0,3,0,0,0,0,9,5,2,2,0,0,0,0,0,0,0,0
Location 136,1,12121,0.73698767589,1,0,0,5433064.76728000000,6500483.00885000000,0.00000000000,25.41960927350,0.00000000000,,75,158,136,15,37,23,60,12,33,15,104,23,53,28,124,21,63,40,89,17,50,22
Location 137,1,6414,0.23181160970,1,0,0,5433060.60391000000,6500354.20954000000,0.00000000000,26.54242146900,0.00000000000,,136,159,137,32,39,65,234,50,112,72,0,0,0,0,7,0,3,4,16,3,8,5
Location 138,1,13192,0.11058262997,1,0,0,5432911.20038000000,6500407.41625000000,0.00000000000,16.40308166250,0.00000000000,,43,160,138,15,7,21,6,2,2,2,162,37,76,49,197,35,107,55,113,16,52,45
Location 139,1,8537,0.22685898085,1,0,0,5432853.23033000000,6500117.56236000000,0.00000000000,19.71434600410,0.00000000000,,71,161,139,15,35,21,22,3,10,9,145,29,74,42,119,18,61,40,56,16,25,15
Location 140,1,15869,0.12747903676,1,0,0,5432812.88733000000,6500032.14702000000,0.00000000000,15.46179895510,0.00000000000,,62,162,140,20,23,19,90,18,49,23,58,18,27,13,81,12,51,18,53,6,39,8
Location 141,1,5311,0.78805061999,1,0,0,5432939.91192000000,6499970.19015000000,0.00000000000,25.59503886410,0.00000000000,,172,163,141,51,64,57,154,32,61,61,3,1,0,2,0,0,0,0,129,24,68,37
Location 142,1,12735,0.77929546378,1,0,0,5432907.53969000000,6499839.16691000000,0.00000000000,23.41707036220,0.00000000000,,0,164,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 143,1,5315,0.11167275390,1,0,0,5432750.27319000000,6499771.06150000000,0.00000000000,9.85805133010,0.00000000000,,249,166,143,75,78,96,206,32,89,85,166,41,88,37,160,32,89,39,149,33,48,68
Location 144,1,876,0.81939740737,1,0,0,5432849.04411000000,6499595.11143000000,0.00000000000,20.24770978570,0.00000000000,,123,167,144,42,32,49,102,19,40,43,114,30,58,26,114,27,54,33,189,42,89,58
Location 145,1,1306,0.78120677016,2,0,0,5432846.95595000000,6499486.11543000000,0.00000000000,22.28131532350,0.00000000000,,176,168,145,52,54,70,167,37,62,68,69,19,24,26,113,26,65,22,144,23,84,37
Location 146,1,12800,0.77052382810,2,0,0,5432788.23241000000,6499242.53424000000,0.00000000000,23.66158140150,0.00000000000,,61,169,146,16,19,26,48,10,19,19,45,10,17,18,20,4,7,9,8,3,3,2
Location 147,1,1700,0.80273731799,1,0,0,5432696.83155000000,6498973.63270000000,0.00000000000,24.29380855920,0.00000000000,,274,170,147,79,65,130,242,64,78,100,217,51,98,68,238,55,110,73,344,61,149,134
Location 148,1,2424,0.12176294255,1,0,0,5432584.85463000000,6498078.29325000000,0.00000000000,12.57067497100,0.00000000000,,139,171,148,45,44,50,128,32,64,32,165,32,98,35,82,22,33,27,24,6,15,3
Location 149,1,12359,0.87166930581,2,0,0,5432613.88255000000,6498199.81737000000,0.00000000000,12.84200177490,0.00000000000,,93,172,149,32,28,33,91,22,36,33,141,29,75,37,137,20,75,42,70,14,47,9
Location 150,1,11613,0.80035066178,2,0,0,5432626.01708000000,6498593.97533000000,0.00000000000,23.87194495480,0.00000000000,,152,173,150,36,38,78,133,29,38,66,142,37,63,42,149,41,57,51,75,19,35,21
Location 151,1,14750,0.86670267835,2,0,0,5432433.02687000000,6498500.11640000000,0.00000000000,12.10769593910,0.00000000000,,382,174,151,110,115,157,336,74,124,138,369,102,152,115,275,54,126,95,112,17,68,27
Location 126,1,9552,0.19764070695,1,0,0,5433228.96683000000,6503327.57914000000,0.00000000000,25.74459978000,0.00000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 152,1,9844,0.11965832757,1,0,0,5432401.63496000000,6498371.70345000000,0.00000000000,11.63236026620,0.00000000000,,125,175,152,30,40,55,60,19,17,24,101,27,44,30,101,27,42,32,159,15,110,34
Location 153,1,11464,0.80606454410,1,0,0,5433105.95569000000,6501088.00297000000,0.00000000000,12.79572258840,0.00000000000,,0,176,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 155,1,11795,0.77320495912,1,0,0,5431902.45962000000,6504191.47263000000,0.00000000000,12.60526083620,0.00000000000,,0,179,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 156,1,3712,0.90633417290,1,0,0,5432516.83320000000,6498781.42545000000,0.00000000000,13.20238001290,0.00000000000,,105,180,156,31,40,34,73,14,26,33,70,14,32,24,86,9,50,27,112,15,47,50
Location 157,1,15652,0.86577341694,1,0,0,5432543.44751000000,6497850.87456000000,0.00000000000,13.78453302380,0.00000000000,,233,181,157,60,105,68,141,23,62,56,197,46,107,44,266,45,156,65,274,53,159,62
