city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Yaviza,8.1550,-77.6919,Panama,PA,Darién,minor,4441,4441
La Palma,8.4100,-78.1500,Panama,PA,Darién,admin,4205,4205
Nueva Gorgona,8.5500,-79.8700,Panama,PA,Panamá Oeste,minor,4075,4075
Río Alejandro Arriba,9.3736,-79.7886,Panama,PA,Colón,,4048,4048
Parita,8.0000,-80.5100,Panama,PA,Herrera,minor,3723,3723
San Carlos,8.4800,-79.9494,Panama,PA,Panamá Oeste,minor,3578,3578
Coclé del Norte,9.0833,-80.5833,Panama,PA,Colón,minor,3555,3555
Santa Fe,8.5111,-81.0778,Panama,PA,Veraguas,minor,3047,3047
Macaracas,7.7300,-80.5400,Panama,PA,Los Santos,minor,2890,2890
Tierra Oscura,9.1833,-82.2833,Panama,PA,Bocas del Toro,minor,2661,2661
Pesé,7.9000,-80.6100,Panama,PA,Herrera,minor,2565,2565
Calobre,8.3200,-80.8400,Panama,PA,Veraguas,minor,2514,2514
Chame,8.5800,-79.8700,Panama,PA,Panamá Oeste,minor,2432,2432
María Chiquita,9.4400,-79.7600,Panama,PA,Colón,minor,2415,2415
Nuevo Vigía,9.2400,-79.6100,Panama,PA,Colón,,2411,2411
Escobal,9.1500,-79.9600,Panama,PA,Colón,minor,2388,2388
Jaqué,7.5181,-78.1625,Panama,PA,Darién,minor,2386,2386
Miguel de La Borda,9.1500,-80.3000,Panama,PA,Colón,minor,2326,2326
Tonosí,7.4000,-80.4400,Panama,PA,Los Santos,minor,2257,2257
Los Pozos,7.8000,-80.6333,Panama,PA,Herrera,minor,2199,2199
Santa Rita Arriba,9.3400,-79.7800,Panama,PA,Colón,,2184,2184
Bastimentos,9.3500,-82.2000,Panama,PA,Bocas del Toro,minor,1954,1954
Garachiné,8.0600,-78.3600,Panama,PA,Darién,minor,1878,1878
Palmas Bellas,9.2300,-80.0900,Panama,PA,Colón,minor,1844,1844
Ailigandí,9.2278,-78.0278,Panama,PA,Guna Yala,minor,1842,1842
Finca Blanco,8.3800,-82.8700,Panama,PA,Chiriquí,minor,1803,1803
Llano de Piedra,7.6700,-80.5700,Panama,PA,Los Santos,minor,1737,1737
Punta Laurel,9.1333,-82.1333,Panama,PA,Bocas del Toro,minor,1730,1730
Nuevo San Juan,9.2200,-79.6600,Panama,PA,Colón,minor,1373,1373
Churuquita Chiquita,8.5700,-80.2800,Panama,PA,Coclé,minor,1273,1273
Chiriquí Grande,8.9500,-82.1200,Panama,PA,Bocas del Toro,minor,1232,1232
Chimán,8.7200,-78.6200,Panama,PA,Panamá,minor,1205,1205
Coclecito,8.8093,-80.5558,Panama,PA,Colón,minor,1200,1200
Tucutí,7.9606,-77.9329,Panama,PA,Darién,minor,1200,1200
Tubualá,8.9208,-77.7236,Panama,PA,Guna Yala,minor,1183,1183
El Real,8.1300,-77.7100,Panama,PA,Darién,minor,1183,1183
Boca de Cupé,8.0500,-77.5833,Panama,PA,Darién,minor,1167,1167
Potrerillos Arriba,8.6800,-82.5000,Panama,PA,Chiriquí,minor,1165,1165
Nombre de Dios,9.5829,-79.4703,Panama,PA,Colón,minor,1130,1130
Puerto Piña,7.5833,-78.1833,Panama,PA,Darién,minor,1113,1113
Santa Ana Arriba,7.9300,-80.3700,Panama,PA,Los Santos,minor,1097,1097
Bisira,8.9000,-81.8600,Panama,PA,Ngäbe-Buglé,minor,1019,1019
Pocrí,7.7300,-80.1500,Panama,PA,Los Santos,minor,1002,1002
Sambú,8.0250,-78.2083,Panama,PA,Darién,minor,931,931
Kankintú,8.8500,-81.8200,Panama,PA,Ngäbe-Buglé,minor,787,787
Chepigana,8.2842,-78.0414,Panama,PA,Darién,minor,704,704
Brujas,8.5861,-78.5314,Panama,PA,Panamá,minor,688,688
Setegantí,8.2317,-78.0775,Panama,PA,Darién,minor,558,558
Boca de Sábalo,8.0208,-78.2042,Panama,PA,Emberá-Wounaan,minor,527,527
Nuevo Chagres,9.2361,-80.0861,Panama,PA,Colón,minor,499,499
Cuango,9.5667,-79.3167,Panama,PA,Colón,minor,442,442
Buabidi,8.4667,-81.7000,Panama,PA,Ngäbe-Buglé,admin,420,420
Palmira,9.5474,-79.2149,Panama,PA,Colón,minor,319,319
Santa Isabel,9.5333,-79.1833,Panama,PA,Colón,minor,284,284
Yape,8.1006,-77.5964,Panama,PA,Emberá-Wounaan,minor,187,187
Playa Chiquita,9.5667,-79.2833,Panama,PA,Colón,minor,169,169
Gonzalo Vásquez,8.4167,-78.4500,Panama,PA,Panamá,minor,91,91
Gaigirgordub,9.5586,-78.9484,Panama,PA,Guna Yala,admin,10,10
San Felipe,8.9524,-79.5353,Panama,PA,Panamá,minor,,
Calidonia,8.9673,-79.5359,Panama,PA,Panamá,minor,,
San Francisco,8.9924,-79.5082,Panama,PA,Panamá,minor,,
Bella Vista,8.9847,-79.5254,Panama,PA,Panamá,minor,,
Betania,9.0116,-79.5276,Panama,PA,Panamá,minor,,
Vista Alegre,8.9292,-79.6996,Panama,PA,Panamá Oeste,minor,,
Arco Iris,9.3382,-79.8925,Panama,PA,Colón,minor,,
Sieyik,9.3833,-82.6522,Panama,PA,Naso Tjër Di,admin,,
Unión Chocó,8.1021,-77.6058,Panama,PA,Emberá-Wounaan,admin,,
Guadalupe,8.8545,-79.8141,Panama,PA,Panamá Oeste,minor,,
San Juan Bautista,7.9647,-80.4162,Panama,PA,Herrera,minor,,
Cerro Silvestre,8.9402,-79.6799,Panama,PA,Panamá Oeste,minor,,
Llano Bonito,7.9740,-80.4209,Panama,PA,Herrera,minor,,
Canto del Llano,8.1231,-80.9642,Panama,PA,Veraguas,minor,,
Burunga,8.9619,-79.6723,Panama,PA,Panamá Oeste,minor,,
Pocrí,8.2564,-80.5463,Panama,PA,Coclé,minor,,
Monagrillo,7.9934,-80.4444,Panama,PA,Herrera,minor,,
El Chorrillo,8.9505,-79.5435,Panama,PA,Panamá,minor,,
San Antonio,8.0722,-80.9297,Panama,PA,Veraguas,minor,,
Veracruz,8.8932,-79.6234,Panama,PA,Panamá Oeste,minor,,
Las Palmitas,7.7670,-80.2903,Panama,PA,Los Santos,minor,,
La Concepción,8.5167,-82.6239,Panama,PA,Chiriquí,minor,,
Nueva Providencia,9.2633,-79.8156,Panama,PA,Colón,minor,,
Bugaba,8.4861,-82.6202,Panama,PA,Chiriquí,minor,,
La Tiza,7.7528,-80.2884,Panama,PA,Los Santos,minor,,
Las Lomas,8.4290,-82.3890,Panama,PA,Chiriquí,minor,,
El Cocal,7.7385,-80.2789,Panama,PA,Los Santos,minor,,
Chepillo,8.9513,-79.1315,Panama,PA,Panamá,minor,,
Lajero,8.2900,-81.7701,Panama,PA,Ngäbe-Buglé,minor,,
El Sesteadero,7.7460,-80.2508,Panama,PA,Los Santos,minor,,
Villa Carmen,8.7983,-79.8693,Panama,PA,Panamá Oeste,minor,,
Cabecera de Cerro Puerco,8.3068,-81.7555,Panama,PA,Ngäbe-Buglé,minor,,
La Arena,7.9694,-80.4615,Panama,PA,Herrera,minor,,
Pedregal,8.3770,-82.4295,Panama,PA,Chiriquí,minor,,
La Laja,7.7338,-80.2507,Panama,PA,Los Santos,minor,,
El Valle,8.6005,-80.1346,Panama,PA,Coclé,minor,,
Progreso,8.4519,-82.8374,Panama,PA,Chiriquí,minor,,
Playa Leona,8.7839,-79.7755,Panama,PA,Panamá Oeste,minor,,
Los Anastacios,8.5346,-82.4207,Panama,PA,Chiriquí,minor,,
Llano Largo,7.9086,-80.4240,Panama,PA,Los Santos,minor,,
Alto Caballero,8.2833,-81.6667,Panama,PA,Ngäbe-Buglé,minor,,
Otoque Occidente,8.6049,-79.6045,Panama,PA,Panamá,minor,,
Curundú,8.9711,-79.5426,Panama,PA,Panamá,minor,,
Cerro Iglesia,8.2912,-81.7970,Panama,PA,Ngäbe-Buglé,minor,,
San Pablo Viejo Abajo,8.4546,-82.5049,Panama,PA,Chiriquí,minor,,
Hato Julí,8.3526,-81.8484,Panama,PA,Ngäbe-Buglé,minor,,
Los Naranjos,8.7942,-82.4456,Panama,PA,Chiriquí,minor,,
Quebrada de Loro,8.3544,-81.9180,Panama,PA,Ngäbe-Buglé,minor,,
Villa Rosario,8.7738,-79.8755,Panama,PA,Panamá Oeste,minor,,
Los Santos,7.9344,-80.4122,Panama,PA,Los Santos,minor,,
Soná,8.0088,-81.3173,Panama,PA,Veraguas,minor,,
Río Hato,8.3776,-80.1635,Panama,PA,Coclé,minor,,
El Espino,8.8379,-79.8492,Panama,PA,Panamá Oeste,minor,,
Margarita,9.3260,-79.8903,Panama,PA,Colón,minor,,
Piña,9.2801,-80.0436,Panama,PA,Colón,minor,,
Buena Vista,9.2736,-79.6955,Panama,PA,Colón,minor,,
Salto Dupí,8.3500,-81.8833,Panama,PA,Ngäbe-Buglé,minor,,
Maraca,8.3667,-81.7333,Panama,PA,Ngäbe-Buglé,minor,,
La Palma,7.6918,-80.1920,Panama,PA,Los Santos,minor,,
Chacarero,8.4925,-82.5996,Panama,PA,Chiriquí,minor,,
Cañaveral,8.5167,-80.4304,Panama,PA,Coclé,minor,,
Bejuco,8.6004,-79.8899,Panama,PA,Panamá Oeste,minor,,
Aserrío de Gariché,8.4864,-82.7893,Panama,PA,Chiriquí,minor,,
Punta Peña,8.9149,-82.1857,Panama,PA,Bocas del Toro,minor,,
Pueblo Nuevo,8.8917,-82.1907,Panama,PA,Ngäbe-Buglé,minor,,
Dolega,8.5651,-82.4134,Panama,PA,Chiriquí,minor,,
Hato Corotú,8.3167,-81.9667,Panama,PA,Ngäbe-Buglé,minor,,
Oma,8.3456,-81.7983,Panama,PA,Ngäbe-Buglé,minor,,
Alanje,8.4000,-82.5587,Panama,PA,Chiriquí,minor,,
Sajalices,8.6837,-79.8725,Panama,PA,Panamá Oeste,minor,,
La Esperanza,8.4061,-82.7901,Panama,PA,Chiriquí,minor,,
Antón,8.3968,-80.2650,Panama,PA,Coclé,minor,,
San José,8.5324,-79.9309,Panama,PA,Panamá Oeste,minor,,
Las Lajas,8.5496,-79.9352,Panama,PA,Panamá Oeste,minor,,
Santa Marta,8.5229,-82.7011,Panama,PA,Chiriquí,minor,,
Boquerón,8.5077,-82.5707,Panama,PA,Chiriquí,minor,,
Las Uvas,8.4594,-80.0007,Panama,PA,Panamá Oeste,minor,,
Llano Abajo,7.7939,-80.4076,Panama,PA,Los Santos,minor,,
La Estrella,8.5181,-82.6704,Panama,PA,Chiriquí,minor,,
Caballero,8.5434,-80.1977,Panama,PA,Coclé,minor,,
Marica de Antón,8.5500,-80.2333,Panama,PA,Coclé,minor,,
Taboga,8.7945,-79.5544,Panama,PA,Panamá,minor,,
Atalaya,8.0436,-80.9248,Panama,PA,Veraguas,minor,,
Dos Ríos,8.5332,-82.3848,Panama,PA,Chiriquí,minor,,
Chichica,8.3647,-81.6667,Panama,PA,Ngäbe-Buglé,minor,,
Contadora,8.6248,-79.0375,Panama,PA,Panamá,minor,,
Saboga,8.6269,-79.0608,Panama,PA,Panamá,minor,,
San Carlos,8.5205,-82.5047,Panama,PA,Chiriquí,minor,,
Sortová,8.5511,-82.6509,Panama,PA,Chiriquí,minor,,
Cañas Gordas,8.7472,-82.9172,Panama,PA,Chiriquí,minor,,
Los Algarrobos,8.1129,-81.0152,Panama,PA,Veraguas,minor,,
La Peña,8.1341,-81.0282,Panama,PA,Veraguas,minor,,
Limón,9.2548,-79.8141,Panama,PA,Colón,minor,,
La Enea,7.8323,-80.2731,Panama,PA,Los Santos,minor,,
Camarón Arriba,8.3877,-81.9965,Panama,PA,Ngäbe-Buglé,minor,,
Tijeras,8.4693,-82.5484,Panama,PA,Chiriquí,minor,,
Cerro Viejo,8.2540,-81.5752,Panama,PA,Chiriquí,minor,,
Llano Grande,8.4505,-80.2268,Panama,PA,Coclé,minor,,
Rambala,8.9262,-82.1838,Panama,PA,Bocas del Toro,minor,,
El Higo,8.4473,-80.0360,Panama,PA,Panamá Oeste,minor,,
Alto Boquete,8.7362,-82.4333,Panama,PA,Chiriquí,minor,,
Peña Blanca,7.7203,-80.2837,Panama,PA,Los Santos,minor,,
Gómez,8.5649,-82.7402,Panama,PA,Chiriquí,minor,,
Santa Rita,8.4931,-80.1830,Panama,PA,Coclé,minor,,
Cerro Punta,8.8522,-82.5736,Panama,PA,Chiriquí,minor,,
Las Guabas,7.9106,-80.8053,Panama,PA,Herrera,minor,,
La Montañuela,8.0244,-80.8568,Panama,PA,Veraguas,minor,,
Cochea Abajo,8.5070,-82.3604,Panama,PA,Chiriquí,minor,,
Los Olivos,7.9185,-80.4880,Panama,PA,Los Santos,minor,,
Volcán,8.7805,-82.6390,Panama,PA,Chiriquí,minor,,
Monte Lirio,8.7933,-82.8245,Panama,PA,Chiriquí,minor,,
Santa Rita,8.8568,-79.8795,Panama,PA,Panamá Oeste,minor,,
Hato Jobo,8.4000,-81.8833,Panama,PA,Ngäbe-Buglé,minor,,
Hato Pilón,8.4017,-81.8672,Panama,PA,Ngäbe-Buglé,minor,,
San Félix,8.2933,-81.8692,Panama,PA,Chiriquí,minor,,
Los Llanitos,8.5979,-80.0950,Panama,PA,Panamá Oeste,minor,,
Cerro Caña,8.3488,-81.6154,Panama,PA,Ngäbe-Buglé,minor,,
Otoque Oriente,8.6013,-79.5989,Panama,PA,Panamá,minor,,
La Ermita,8.4562,-80.0683,Panama,PA,Panamá Oeste,minor,,
El Manantial,7.7839,-80.2425,Panama,PA,Los Santos,minor,,
El Espino,8.4776,-80.0128,Panama,PA,Panamá Oeste,minor,,
Buenos Aires,8.6315,-79.9478,Panama,PA,Panamá Oeste,minor,,
Cañazas,8.3200,-81.2115,Panama,PA,Veraguas,minor,,
Tinajas,8.5592,-82.4622,Panama,PA,Chiriquí,minor,,
Bágala,8.4671,-82.5269,Panama,PA,Chiriquí,minor,,
La Cabuya,7.9852,-80.7641,Panama,PA,Herrera,minor,,
Llano Culebra,8.3039,-81.6145,Panama,PA,Chiriquí,minor,,
Sabana Grande,7.8388,-80.3659,Panama,PA,Los Santos,minor,,
El Tejar,8.4319,-82.5691,Panama,PA,Chiriquí,minor,,
El Limón,8.0589,-80.7721,Panama,PA,Herrera,minor,,
Capellanía,8.3022,-80.5533,Panama,PA,Coclé,minor,,
Jaramillo Arriba,8.7862,-82.4231,Panama,PA,Chiriquí,minor,,
Sitio Prado,8.3667,-81.5833,Panama,PA,Ngäbe-Buglé,minor,,
Las Ollas Arriba,8.8067,-79.9131,Panama,PA,Panamá Oeste,minor,,
Agua Buena,7.8368,-80.3996,Panama,PA,Los Santos,minor,,
Tres Quebradas,7.8402,-80.4074,Panama,PA,Los Santos,minor,,
Pilón,7.9568,-81.0723,Panama,PA,Veraguas,minor,,
Bahía Azul,9.1333,-81.8833,Panama,PA,Ngäbe-Buglé,minor,,
El Roble,8.1688,-80.6602,Panama,PA,Coclé,minor,,
Chupampa,8.0771,-80.7783,Panama,PA,Herrera,minor,,
Chiguirí Arriba,8.6719,-80.1897,Panama,PA,Coclé,minor,,
Querévalo,8.3724,-82.5199,Panama,PA,Chiriquí,minor,,
Cabuya,8.5440,-80.1631,Panama,PA,Coclé,minor,,
La Pasera,7.7980,-80.3044,Panama,PA,Los Santos,minor,,
Llano Ñopo,8.4241,-81.6160,Panama,PA,Ngäbe-Buglé,minor,,
Guararé Arriba,7.8080,-80.3592,Panama,PA,Los Santos,minor,,
Isla Grande,9.6286,-79.5652,Panama,PA,Colón,minor,,
Potrerillos Abajo,8.6452,-82.4857,Panama,PA,Chiriquí,minor,,
La Espigadilla,7.8878,-80.3889,Panama,PA,Los Santos,minor,,
El Carate,7.7320,-80.2954,Panama,PA,Los Santos,minor,,
El Potrero,8.5220,-80.5209,Panama,PA,Coclé,minor,,
Cerro Venado,8.2282,-81.5742,Panama,PA,Ngäbe-Buglé,minor,,
El Rincón,8.1196,-80.6151,Panama,PA,Herrera,minor,,
Miramar,8.9975,-82.2434,Panama,PA,Bocas del Toro,minor,,
El Retiro,8.4801,-80.1543,Panama,PA,Coclé,minor,,
Cerro Banco,8.4603,-82.0319,Panama,PA,Ngäbe-Buglé,minor,,
Santa Clara,9.0339,-79.7534,Panama,PA,Panamá Oeste,minor,,
Cabuya,8.5747,-79.9271,Panama,PA,Panamá Oeste,minor,,
Montijo,7.9918,-81.0555,Panama,PA,Veraguas,minor,,
El Barrero,7.9335,-80.5204,Panama,PA,Herrera,minor,,
Chupá,7.8022,-80.5728,Panama,PA,Los Santos,minor,,
El Caño,8.4078,-80.5172,Panama,PA,Coclé,minor,,
La Pintada,8.5962,-80.4469,Panama,PA,Coclé,minor,,
Chicá,8.6616,-79.9418,Panama,PA,Panamá Oeste,minor,,
San Juan,8.3120,-81.0160,Panama,PA,Veraguas,minor,,
Soloy,8.5000,-82.0667,Panama,PA,Ngäbe-Buglé,minor,,
Los Cerritos,7.7995,-80.6064,Panama,PA,Herrera,minor,,
San Andrés,8.6022,-82.7245,Panama,PA,Chiriquí,minor,,
Santo Domingo,8.5104,-82.7136,Panama,PA,Chiriquí,minor,,
Tolé,8.2433,-81.6697,Panama,PA,Chiriquí,minor,,
Guabal,8.5747,-82.5373,Panama,PA,Chiriquí,minor,,
La Colorada,7.8275,-80.5570,Panama,PA,Los Santos,minor,,
Santo Domingo,7.7486,-80.2414,Panama,PA,Los Santos,minor,,
Rincón Hondo,7.8421,-80.6030,Panama,PA,Herrera,minor,,
Río Congo,8.9667,-79.7610,Panama,PA,Panamá Oeste,minor,,
Caimito,8.8114,-79.9474,Panama,PA,Panamá Oeste,minor,,
Los Ángeles,7.8846,-80.3550,Panama,PA,Los Santos,minor,,
Divalá,8.4129,-82.7137,Panama,PA,Chiriquí,minor,,
La Mesa,9.1731,-79.2740,Panama,PA,Panamá,minor,,
Cacique,9.6090,-79.6167,Panama,PA,Colón,minor,,
El Chirú,8.3988,-80.1872,Panama,PA,Coclé,minor,,
Rovira Arriba,8.6389,-82.5034,Panama,PA,Chiriquí,minor,,
Cuipo,9.0690,-80.0488,Panama,PA,Colón,minor,,
Las Lajas,8.2452,-81.8701,Panama,PA,Chiriquí,minor,,
Paraíso,8.6627,-82.5908,Panama,PA,Chiriquí,minor,,
Guayabal,8.6179,-82.5791,Panama,PA,Chiriquí,minor,,
Hato Culantro,8.4667,-81.8500,Panama,PA,Ngäbe-Buglé,minor,,
El Cristo,8.2535,-80.6203,Panama,PA,Coclé,minor,,
Nuevo Emperador,9.0028,-79.7304,Panama,PA,Panamá Oeste,minor,,
Mirones,8.5573,-81.7275,Panama,PA,Ngäbe-Buglé,minor,,
Garrote,9.6000,-79.5833,Panama,PA,Colón,minor,,
Santa María,8.1140,-80.6646,Panama,PA,Herrera,minor,,
El Coco,8.3960,-80.3545,Panama,PA,Coclé,minor,,
El Espinal,7.8667,-80.3219,Panama,PA,Los Santos,minor,,
Veladero,8.2346,-81.6525,Panama,PA,Chiriquí,minor,,
Los Canelos,8.1222,-80.7053,Panama,PA,Herrera,minor,,
San Pedro del Espino,8.1387,-81.0821,Panama,PA,Veraguas,minor,,
El Hato,7.7955,-80.3828,Panama,PA,Los Santos,minor,,
Santo Tomás,8.3970,-82.6477,Panama,PA,Chiriquí,minor,,
La Colorada,8.0147,-80.9843,Panama,PA,Veraguas,minor,,
El Puerto,8.2152,-81.8100,Panama,PA,Chiriquí,minor,,
Juan Díaz,8.4607,-80.2853,Panama,PA,Coclé,minor,,
Santa Rosa,8.6031,-82.6846,Panama,PA,Chiriquí,minor,,
Coclé,8.4651,-80.4155,Panama,PA,Coclé,minor,,
El Rincón,8.1844,-81.4316,Panama,PA,Veraguas,minor,,
Villa Lourdes,7.8098,-80.4723,Panama,PA,Los Santos,minor,,
El Capurí,7.7260,-80.6435,Panama,PA,Herrera,minor,,
El Piro,8.2119,-81.5315,Panama,PA,Ngäbe-Buglé,minor,,
Peña Blanca,8.4701,-81.6880,Panama,PA,Ngäbe-Buglé,minor,,
Zangüengas,8.9561,-79.8704,Panama,PA,Panamá Oeste,minor,,
El Barrito,7.9590,-80.9482,Panama,PA,Veraguas,minor,,
Plaza de Caisán,8.7435,-82.8207,Panama,PA,Chiriquí,minor,,
Campana,8.7165,-79.8921,Panama,PA,Panamá Oeste,minor,,
Río Grande,8.4319,-80.4870,Panama,PA,Coclé,minor,,
Tobobe,9.1208,-81.8280,Panama,PA,Ngäbe-Buglé,minor,,
El Pájaro,7.9474,-80.5741,Panama,PA,Herrera,minor,,
Guarumal,8.3479,-82.5298,Panama,PA,Chiriquí,minor,,
Piedras Gordas,8.6389,-80.5114,Panama,PA,Coclé,minor,,
Calabacito,8.2455,-81.0798,Panama,PA,Veraguas,minor,,
Sabana Grande,7.8807,-80.6382,Panama,PA,Herrera,minor,,
Punta Chame,8.6378,-79.7142,Panama,PA,Panamá Oeste,minor,,
El Cacao,8.7613,-80.0129,Panama,PA,Panamá Oeste,minor,,
La Raya de Santa María,8.1664,-80.8164,Panama,PA,Veraguas,minor,,
Portobelillo,8.0175,-80.5978,Panama,PA,Herrera,minor,,
San Francisco,8.2454,-80.9737,Panama,PA,Veraguas,minor,,
Las Cabras,7.8770,-80.5481,Panama,PA,Herrera,minor,,
Cerro Iglesia,8.2905,-81.5656,Panama,PA,Chiriquí,minor,,
Buenos Aires,8.4138,-81.4844,Panama,PA,Ngäbe-Buglé,minor,,
Boca de Balsa,8.5333,-82.0333,Panama,PA,Ngäbe-Buglé,minor,,
Santa Lucía,8.2320,-81.8261,Panama,PA,Chiriquí,minor,,
Remedios,8.2254,-81.8292,Panama,PA,Chiriquí,minor,,
Santa Cruz,8.6463,-82.7605,Panama,PA,Chiriquí,minor,,
Guayabito,8.5395,-81.4822,Panama,PA,Ngäbe-Buglé,minor,,
Llano de La Cruz,7.9563,-80.6406,Panama,PA,Herrera,minor,,
Las Guabas,7.8172,-80.4913,Panama,PA,Los Santos,minor,,
Palmira Centro,8.7416,-82.4505,Panama,PA,Chiriquí,minor,,
El Pedregoso,7.9396,-80.6376,Panama,PA,Herrera,minor,,
El Guabo,9.0784,-80.0832,Panama,PA,Colón,minor,,
La Arena,7.7513,-80.5921,Panama,PA,Herrera,minor,,
Agua de Salud,8.5105,-81.4742,Panama,PA,Ngäbe-Buglé,minor,,
Alto de Jesús,8.2667,-81.4833,Panama,PA,Ngäbe-Buglé,minor,,
Ciricito Abajo,8.7995,-80.0775,Panama,PA,Panamá Oeste,minor,,
Los Castillos,7.9874,-80.6193,Panama,PA,Herrera,minor,,
Guacá Arriba,8.5395,-82.4941,Panama,PA,Chiriquí,minor,,
Potuga,8.0659,-80.6209,Panama,PA,Herrera,minor,,
Cabuya,8.0310,-80.6311,Panama,PA,Herrera,minor,,
El Nancito,8.2412,-81.7321,Panama,PA,Chiriquí,minor,,
Gualaca,8.5301,-82.2997,Panama,PA,Chiriquí,minor,,
El Porvenir,8.2320,-81.8335,Panama,PA,Chiriquí,minor,,
El Prado,8.2367,-81.5010,Panama,PA,Veraguas,minor,,
Toabré,8.6507,-80.3212,Panama,PA,Coclé,minor,,
El Muñoz,7.6762,-80.3206,Panama,PA,Los Santos,minor,,
San Pablo Nuevo,8.4277,-82.5001,Panama,PA,Chiriquí,minor,,
Cirí de Los Sotos,8.9721,-80.0921,Panama,PA,Panamá Oeste,minor,,
La Arenosa,9.0422,-79.9496,Panama,PA,Panamá Oeste,minor,,
Toza,8.3452,-80.6411,Panama,PA,Coclé,minor,,
El Guásimo,7.8094,-80.5270,Panama,PA,Los Santos,minor,,
Norteño,9.0100,-82.3155,Panama,PA,Bocas del Toro,minor,,
Punta Róbalo,9.0379,-82.2477,Panama,PA,Bocas del Toro,minor,,
Cermeño,8.7408,-79.8530,Panama,PA,Panamá Oeste,minor,,
Piedra Roja,8.5667,-81.7500,Panama,PA,Ngäbe-Buglé,minor,,
Las Cruces,7.8272,-80.4297,Panama,PA,Los Santos,minor,,
Sorá,8.6319,-80.0089,Panama,PA,Panamá Oeste,minor,,
Boró,8.1720,-81.3012,Panama,PA,Veraguas,minor,,
Las Palmas,8.1362,-81.4541,Panama,PA,Veraguas,minor,,
San Bartolo,8.2127,-81.2763,Panama,PA,Veraguas,minor,,
Nueva Arenosa,8.8694,-79.9947,Panama,PA,Panamá Oeste,minor,,
Rincón,8.4660,-82.2810,Panama,PA,Chiriquí,minor,,
